date,datatype,station,value
2018-01-10,PRCP,GHCND:US1CASC0057,0.39
2018-01-10,PRCP,GHCND:US1CASD0053,1.34
2018-01-10,PRCP,GHCND:USC00041697,0.28
2018-01-10,TMAX,GHCND:USC00041697,50.0
2018-01-10,TMIN,GHCND:USC00041697,35.0
2018-01-10,TMAX,GHCND:USR0000CBAR,60.0
2018-01-10,TMIN,GHCND:USR0000CBAR,47.0
2018-01-10,TMAX,GHCND:USR0000CCRE,50.0
2018-01-10,TMIN,GHCND:USR0000CCRE,23.0
2018-01-10,TMAX,GHCND:USR0000CDGR,36.0
2018-01-10,TMIN,GHCND:USR0000CDGR,29.0
2018-01-10,TMAX,GHCND:USR0000CHAY,54.0
2018-01-10,TMIN,GHCND:USR0000CHAY,35.0
2018-01-10,TMAX,GHCND:USR0000CHNM,54.0
2018-01-10,TMIN,GHCND:USR0000CHNM,31.0
2018-01-10,TMAX,GHCND:USR0000CSNL,58.0
2018-01-10,TMIN,GHCND:USR0000CSNL,47.0
2018-01-10,PRCP,GHCND:USS0019L39S,0.0
2018-01-10,TMAX,GHCND:USS0019L39S,49.0
2018-01-10,TMIN,GHCND:USS0019L39S,30.0
2018-01-11,PRCP,GHCND:US1CAAL0012,0.01
2018-01-11,PRCP,GHCND:US1CALA0046,0.0
2018-01-11,PRCP,GHCND:US1CAMP0008,0.0
2018-01-11,PRCP,GHCND:US1CASC0057,0.03
2018-01-11,PRCP,GHCND:US1CASD0053,0.01
2018-01-11,PRCP,GHCND:USC00041697,0.0
2018-01-11,TMAX,GHCND:USC00041697,45.0
2018-01-11,TMIN,GHCND:USC00041697,31.0
2018-01-11,TMAX,GHCND:USR0000CBAR,58.0
2018-01-11,TMIN,GHCND:USR0000CBAR,47.0
2018-01-11,TMAX,GHCND:USR0000CCRE,51.0
2018-01-11,TMIN,GHCND:USR0000CCRE,21.0
2018-01-11,TMAX,GHCND:USR0000CDGR,43.0
2018-01-11,TMIN,GHCND:USR0000CDGR,34.0
2018-01-11,TMAX,GHCND:USR0000CHAY,58.0
2018-01-11,TMIN,GHCND:USR0000CHAY,39.0
2018-01-11,TMAX,GHCND:USR0000CHNM,57.0
2018-01-11,TMIN,GHCND:USR0000CHNM,32.0
2018-01-11,TMAX,GHCND:USR0000CSNL,61.0
2018-01-11,TMIN,GHCND:USR0000CSNL,43.0
2018-01-11,PRCP,GHCND:USS0019L39S,0.0
2018-01-11,TMAX,GHCND:USS0019L39S,52.0
2018-01-11,TMIN,GHCND:USS0019L39S,31.0
2018-01-12,PRCP,GHCND:US1CAAL0012,0.0
2018-01-12,PRCP,GHCND:US1CALA0046,0.0
2018-01-12,PRCP,GHCND:US1CAMP0008,0.0
2018-01-12,PRCP,GHCND:US1CASC0057,0.0
2018-01-12,PRCP,GHCND:US1CASD0053,0.0
2018-01-12,PRCP,GHCND:USC00041697,0.0
2018-01-12,TMAX,GHCND:USC00041697,51.0
2018-01-12,TMIN,GHCND:USC00041697,32.0
2018-01-12,TMAX,GHCND:USR0000CBAR,63.0
2018-01-12,TMIN,GHCND:USR0000CBAR,47.0
2018-01-12,TMAX,GHCND:USR0000CCRE,57.0
2018-01-12,TMIN,GHCND:USR0000CCRE,25.0
2018-01-12,TMAX,GHCND:USR0000CDGR,49.0
2018-01-12,TMIN,GHCND:USR0000CDGR,31.0
2018-01-12,TMAX,GHCND:USR0000CHAY,57.0
2018-01-12,TMIN,GHCND:USR0000CHAY,29.0
2018-01-12,TMAX,GHCND:USR0000CHNM,58.0
2018-01-12,TMIN,GHCND:USR0000CHNM,35.0
2018-01-12,TMAX,GHCND:USR0000CSNL,53.0
2018-01-12,TMIN,GHCND:USR0000CSNL,40.0
2018-01-12,PRCP,GHCND:USS0019L39S,0.0
2018-01-12,TMAX,GHCND:USS0019L39S,53.0
2018-01-12,TMIN,GHCND:USS0019L39S,30.0
2018-01-13,PRCP,GHCND:US1CAAL0012,0.0
2018-01-13,PRCP,GHCND:US1CALA0046,0.0
2018-01-13,PRCP,GHCND:US1CAMP0008,0.0
2018-01-13,PRCP,GHCND:US1CASC0057,0.0
2018-01-13,PRCP,GHCND:US1CASD0053,0.0
2018-01-13,PRCP,GHCND:USC00041697,0.0
2018-01-13,TMAX,GHCND:USC00041697,57.0
2018-01-13,TMIN,GHCND:USC00041697,40.0
2018-01-13,TMAX,GHCND:USR0000CBAR,54.0
2018-01-13,TMIN,GHCND:USR0000CBAR,47.0
2018-01-13,TMAX,GHCND:USR0000CCRE,55.0
2018-01-13,TMIN,GHCND:USR0000CCRE,22.0
2018-01-13,TMAX,GHCND:USR0000CDGR,54.0
2018-01-13,TMIN,GHCND:USR0000CDGR,29.0
2018-01-13,TMAX,GHCND:USR0000CHAY,61.0
2018-01-13,TMIN,GHCND:USR0000CHAY,28.0
2018-01-13,TMAX,GHCND:USR0000CHNM,51.0
2018-01-13,TMIN,GHCND:USR0000CHNM,36.0
2018-01-13,TMAX,GHCND:USR0000CSNL,51.0
2018-01-13,TMIN,GHCND:USR0000CSNL,49.0
2018-01-13,PRCP,GHCND:USS0019L39S,0.0
2018-01-13,TMAX,GHCND:USS0019L39S,50.0
2018-01-13,TMIN,GHCND:USS0019L39S,27.0
2018-01-14,PRCP,GHCND:US1CAAL0012,0.0
2018-01-14,PRCP,GHCND:US1CALA0046,0.0
2018-01-14,PRCP,GHCND:US1CAMP0008,0.0
2018-01-14,PRCP,GHCND:US1CASC0057,0.0
2018-01-14,PRCP,GHCND:US1CASD0053,0.0
2018-01-14,PRCP,GHCND:USC00041697,0.0
2018-01-14,TMAX,GHCND:USC00041697,63.0
2018-01-14,TMIN,GHCND:USC00041697,42.0
2018-01-14,TMAX,GHCND:USR0000CBAR,53.0
2018-01-14,TMIN,GHCND:USR0000CBAR,46.0
2018-01-14,TMAX,GHCND:USR0000CCRE,52.0
2018-01-14,TMIN,GHCND:USR0000CCRE,22.0
2018-01-14,TMAX,GHCND:USR0000CDGR,56.0
2018-01-14,TMIN,GHCND:USR0000CDGR,39.0
2018-01-14,TMAX,GHCND:USR0000CHAY,55.0
2018-01-14,TMIN,GHCND:USR0000CHAY,29.0
2018-01-14,TMAX,GHCND:USR0000CHNM,55.0
2018-01-14,TMIN,GHCND:USR0000CHNM,32.0
2018-01-14,TMAX,GHCND:USR0000CSNL,52.0
2018-01-14,TMIN,GHCND:USR0000CSNL,46.0
2018-01-14,PRCP,GHCND:USS0019L39S,0.0
2018-01-14,TMAX,GHCND:USS0019L39S,51.0
2018-01-14,TMIN,GHCND:USS0019L39S,28.0
2018-01-15,PRCP,GHCND:US1CAAL0012,0.0
2018-01-15,PRCP,GHCND:US1CALA0046,0.0
2018-01-15,PRCP,GHCND:US1CAMP0008,0.0
2018-01-15,PRCP,GHCND:US1CASC0057,0.0
2018-01-15,PRCP,GHCND:US1CASD0053,0.0
2018-01-15,PRCP,GHCND:USC00041697,0.0
2018-01-15,TMAX,GHCND:USC00041697,62.0
2018-01-15,TMIN,GHCND:USC00041697,40.0
2018-01-15,TMAX,GHCND:USR0000CBAR,63.0
2018-01-15,TMIN,GHCND:USR0000CBAR,46.0
2018-01-15,TMAX,GHCND:USR0000CCRE,53.0
